Fecha,Cantidad,Modelo,Color,Talla,Destino
2017-05-09 05:09:35.200212,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:46.435198,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:48.814712,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:57.516514,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:10:00.953584,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:10:05.125628,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:43.712178,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:50.521271,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:53.015483,5,ESTER,Rojo,S,Torre
2017-05-09 04:59:06.833579,55,TRAPECIO,Rojo,S,
2017-05-09 05:02:50.244074,55,TRAPECIO,Rojo,S,
2017-05-09 05:08:14.156086,55,TRAPECIO,Rojo,S,
2017-05-09 05:08:18.614330,5,TRAPECIO,Rojo,S,
2017-05-09 05:09:02.204598,5,TRAPECIO,Rojo,S,
2017-05-09 05:11:19.844906,54,TRAPECIO,Rojo,S,
2017-05-12 04:56:19.587535,3,ELIZABETH,Rojo,S,
2017-05-14 15:24:10.842423,12,ESTER,Rojo,L,
