Fecha,Cantidad,Modelo,Color,Talla,Destino
2017-05-09 05:09:10.246040,5,TRAPECIO,Rojo,S,Almacen
2017-05-09 05:09:16.343279,5,TRAPECIO,Rojo,S,Almacen
2017-05-12 04:57:24.560977,6,SILVANA LARGO,Rojo,M,Almacen
2017-05-12 05:16:16.897348,32,ESTER,Amarillo,M,Almacen
2017-05-12 05:16:17.331592,32,ESTER,Amarillo,M,Almacen
2017-05-09 05:09:29.486639,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:52.687624,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:54.970536,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:10:18.012403,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:39.110198,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:57.719493,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:59.425958,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:59.854854,5,ESTER,Rojo,S,Torre
2017-05-14 17:59:58.694651,-45,ESTER,Amarillo,S,Torre
2017-05-14 18:00:45.389242,-45,ESTER,Rojo,S,Torre
2017-05-09 05:09:04.962057,5,TRAPECIO,Rojo,S,
