Fecha,Cantidad,Modelo,Color,Talla,Destino
,545,TRAPECIO,,S,Almacen
,545,TRAPECIO,,S,Almacen
,45,ELIZABETH,,M,Almacen
,45,ELIZABETH,,M,Almacen
,255,ELIZABETH,,S,Almacen
,5,TRAPECIO,,S,Almacen
,56,ELIZABETH,,S,Almacen
,54,ELIZABETH,,S,Almacen
,1,ELIZABETH,,S,Almacen
,1,ELIZABETH,,S,Almacen
2017-05-08 03:58:19.413402,22,ELIZABETH,,S,Almacen
2017-05-08 04:17:01.323266,2,SILVANA LARGO,,M,Almacen
2017-05-09 02:57:19.570493,52,TRAPECIO,,S,Almacen
2017-05-09 03:11:15.031354,228,PUAS,,S,Almacen
2017-05-09 03:39:19.715929,55,TRAPECIO,,S,Almacen
2017-05-09 03:41:19.634890,6,TRAPECIO,,S,Almacen
2017-05-09 03:41:57.845109,55,TRAPECIO,,S,Almacen
2017-05-09 03:43:10.858952,5,TRAPECIO,,S,Almacen
2017-05-09 03:45:25.089385,1,TRAPECIO,,S,Almacen
2017-05-09 04:33:05.146996,88,ELIZABETH,,S,Almacen
,5,ELIZABETH,,S,Torre
,5,ELIZABETH,,S,Torre
,5,ELIZABETH,,S,Torre
,5,ELIZABETH,,S,Torre
2017-05-08 04:33:13.704396,2,ELIZABETH,,S,Torre
2017-05-09 03:44:58.673861,2,TRAPECIO,,S,Torre
2017-05-09 05:09:35.200212,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:46.435198,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:48.814712,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:09:57.516514,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:10:00.953584,5,TRAPECIO,Rojo,S,Torre
2017-05-09 05:10:05.125628,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:43.712178,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:50.521271,5,ESTER,Rojo,S,Torre
2017-05-09 05:10:53.015483,5,ESTER,Rojo,S,Torre
,12,ANGELA,,S,Centro
2017-05-09 04:20:43.639880,54,TRAPECIO,,S,
2017-05-09 04:37:24.686556,23,TRAPECIO,,S,
2017-05-09 04:44:40.477716,58,ANGELA,,M,
2017-05-09 04:45:36.767464,55,TRAPECIO,,S,
2017-05-09 04:59:06.833579,55,TRAPECIO,Rojo,S,
2017-05-09 05:02:50.244074,55,TRAPECIO,Rojo,S,
2017-05-09 05:08:14.156086,55,TRAPECIO,Rojo,S,
2017-05-09 05:08:18.614330,5,TRAPECIO,Rojo,S,
2017-05-09 05:09:02.204598,5,TRAPECIO,Rojo,S,
2017-05-09 05:11:19.844906,54,TRAPECIO,Rojo,S,
2017-05-12 04:56:19.587535,3,ELIZABETH,Rojo,S,
